total_load_kwh,total_pv_kwh,pv_curtailed_kwh,pv_used_kwh,energy_not_served_kwh,self_sufficiency_percent,pv_utilization_percent,throughput_charge_kwh,throughput_discharge_kwh,estimated_full_cycles,loss_of_load_hours,max_contiguous_lol_hours,diag_pv_points,diag_load_points,diag_pv_step_seconds,diag_load_step_seconds,diag_target_freq,diag_target_step_hours,diag_pv_mean_before,diag_pv_mean_after,diag_load_mean_before,diag_load_mean_after,diag_interp,capacity_kwh,power_kw,Solar_kw_DC,EV_load_scenario,Scenario
67223.5,65481.1,3017.32,62463.78,6164.03,91.0,95.0,22075.36,20671.05,12.47,2325,42,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,6.66,7.65,linear,850,30.0,194.4,Low,A2
67223.5,65481.1,2970.45,62510.66,6101.63,91.0,95.0,22122.24,20733.45,11.8,2319,42,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,6.66,7.65,linear,900,30.0,194.4,Low,A2
67223.5,65481.1,2923.57,62557.53,6039.23,91.0,96.0,22169.11,20795.85,11.2,2294,42,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,6.66,7.65,linear,950,30.0,194.4,Low,A2
67223.5,65481.1,2876.7,62604.41,5976.83,91.0,96.0,22215.99,20858.25,10.66,2281,42,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,6.66,7.65,linear,1000,30.0,194.4,Low,A2
67223.5,65481.1,2829.82,62651.28,5914.43,91.0,96.0,22262.86,20920.65,10.18,2247,42,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,6.66,7.65,linear,1050,30.0,194.4,Low,A2
67223.5,65481.1,2782.95,62698.16,5852.03,91.0,96.0,22309.74,20983.05,9.74,2215,42,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,6.66,7.65,linear,1100,30.0,194.4,Low,A2
67223.5,65481.1,2736.07,62745.03,5789.63,91.0,96.0,22356.61,21045.45,9.33,2209,42,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,6.66,7.65,linear,1150,30.0,194.4,Low,A2
67223.5,65481.1,2689.2,62791.91,5727.23,91.0,96.0,22403.49,21107.85,8.96,2177,42,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,6.66,7.65,linear,1200,30.0,194.4,Low,A2
67223.5,65481.1,2642.32,62838.78,5664.83,92.0,96.0,22450.36,21170.25,8.62,2172,42,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,6.66,7.65,linear,1250,30.0,194.4,Low,A2
67223.5,65481.1,2595.45,62885.66,5602.43,92.0,96.0,22497.24,21232.65,8.31,2141,42,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,6.66,7.65,linear,1300,30.0,194.4,Low,A2
67223.5,65481.1,2548.57,62932.53,5540.03,92.0,96.0,22544.11,21295.05,8.02,2127,42,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,6.66,7.65,linear,1350,30.0,194.4,Low,A2
67223.5,65481.1,2501.7,62979.41,5477.63,92.0,96.0,22590.99,21357.45,7.75,2075,42,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,6.66,7.65,linear,1400,30.0,194.4,Low,A2
67223.5,65481.1,2454.82,63026.28,5415.23,92.0,96.0,22637.86,21419.85,7.49,2040,42,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,6.66,7.65,linear,1450,30.0,194.4,Low,A2
67223.5,65481.1,2407.95,63073.16,5352.83,92.0,96.0,22684.74,21482.25,7.26,2032,42,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,6.66,7.65,linear,1500,30.0,194.4,Low,A2
67223.5,65481.1,2361.07,63120.03,5290.43,92.0,96.0,22731.61,21544.65,7.04,2002,42,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,6.66,7.65,linear,1550,30.0,194.4,Low,A2
67223.5,65481.1,2314.2,63166.91,5228.03,92.0,96.0,22778.49,21607.05,6.83,1997,42,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,6.66,7.65,linear,1600,30.0,194.4,Low,A2
67223.5,65481.1,2267.32,63213.78,5165.63,92.0,97.0,22825.36,21669.45,6.64,1965,42,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,6.66,7.65,linear,1650,30.0,194.4,Low,A2
67223.5,65481.1,2220.45,63260.66,5103.23,92.0,97.0,22872.24,21731.85,6.46,1959,42,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,6.66,7.65,linear,1700,30.0,194.4,Low,A2
67223.5,65481.1,2173.57,63307.53,5040.83,93.0,97.0,22919.11,21794.25,6.29,1928,42,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,6.66,7.65,linear,1750,30.0,194.4,Low,A2
67223.5,65481.1,2126.7,63354.41,4978.43,93.0,97.0,22965.99,21856.65,6.12,1894,42,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,6.66,7.65,linear,1800,30.0,194.4,Low,A2
67223.5,65481.1,2079.82,63401.28,4916.03,93.0,97.0,23012.86,21919.05,5.97,1887,42,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,6.66,7.65,linear,1850,30.0,194.4,Low,A2
67223.5,65481.1,2032.95,63448.16,4853.63,93.0,97.0,23059.74,21981.45,5.83,1842,42,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,6.66,7.65,linear,1900,30.0,194.4,Low,A2
67223.5,65481.1,1986.07,63495.03,4791.23,93.0,97.0,23106.61,22043.85,5.69,1819,42,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,6.66,7.65,linear,1950,30.0,194.4,Low,A2
67223.5,65481.1,1939.2,63541.91,4728.83,93.0,97.0,23153.49,22106.25,5.56,1783,42,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,6.66,7.65,linear,2000,30.0,194.4,Low,A2
67223.5,65481.1,1892.32,63588.78,4666.43,93.0,97.0,23200.36,22168.65,5.43,1750,42,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,6.66,7.65,linear,2050,30.0,194.4,Low,A2
67223.5,65481.1,1845.45,63635.66,4604.03,93.0,97.0,23247.24,22231.05,5.31,1745,42,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,6.66,7.65,linear,2100,30.0,194.4,Low,A2
67223.5,65481.1,1798.57,63682.53,4541.63,93.0,97.0,23294.11,22293.45,5.2,1714,42,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,6.66,7.65,linear,2150,30.0,194.4,Low,A2
67223.5,65481.1,1751.7,63729.41,4479.23,93.0,97.0,23340.99,22355.85,5.09,1684,42,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,6.66,7.65,linear,2200,30.0,194.4,Low,A2
67223.5,65481.1,1704.82,63776.28,4416.83,93.0,97.0,23387.86,22418.25,4.99,1674,42,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,6.66,7.65,linear,2250,30.0,194.4,Low,A2
67223.5,65481.1,1657.95,63823.16,4354.43,94.0,97.0,23434.74,22480.65,4.89,1639,42,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,6.66,7.65,linear,2300,30.0,194.4,Low,A2
67223.5,65481.1,1611.07,63870.03,4292.03,94.0,98.0,23481.61,22543.05,4.8,1607,42,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,6.66,7.65,linear,2350,30.0,194.4,Low,A2
67223.5,65481.1,1564.2,63916.91,4229.63,94.0,98.0,23528.49,22605.45,4.71,1577,42,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,6.66,7.65,linear,2400,30.0,194.4,Low,A2
67223.5,65481.1,1517.32,63963.78,4167.23,94.0,98.0,23575.36,22667.85,4.62,1571,42,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,6.66,7.65,linear,2450,30.0,194.4,Low,A2
67223.5,65481.1,1470.45,64010.66,4104.83,94.0,98.0,23622.24,22730.25,4.54,1530,42,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,6.66,7.65,linear,2500,30.0,194.4,Low,A2
71473.5,65481.1,15043.51,50437.6,21644.7,70.0,77.0,8010.22,7401.41,76.9,8448,45,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,50,30.0,194.4,Med,A2
71473.5,65481.1,12492.11,52988.99,19274.14,73.0,81.0,10561.61,9771.98,50.7,7340,45,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,100,30.0,194.4,Med,A2
71473.5,65481.1,10151.49,55329.61,17097.82,76.0,84.0,12902.23,11948.3,41.29,6382,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,150,30.0,194.4,Med,A2
71473.5,65481.1,7878.31,57602.79,14983.66,79.0,88.0,15175.41,14062.46,36.42,5660,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,200,30.0,194.4,Med,A2
71473.5,65481.1,5869.06,59612.04,13112.73,82.0,91.0,17184.66,15933.38,32.99,4872,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,250,30.0,194.4,Med,A2
71473.5,65481.1,4300.84,61180.27,11648.26,84.0,93.0,18752.88,17397.86,30.0,4309,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,300,30.0,194.4,Med,A2
71473.5,65481.1,3177.61,62303.49,10593.89,85.0,95.0,19876.11,18452.23,27.26,3897,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,350,30.0,194.4,Med,A2
71473.5,65481.1,2546.49,62934.62,9993.05,86.0,96.0,20507.24,19053.07,24.61,3589,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,400,30.0,194.4,Med,A2
71473.5,65481.1,2243.27,63237.83,9694.41,86.0,97.0,20810.45,19351.71,22.2,3531,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,450,30.0,194.4,Med,A2
71473.5,65481.1,2008.9,63472.21,9459.21,87.0,97.0,21044.82,19586.91,20.2,3425,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,500,30.0,194.4,Med,A2
71473.5,65481.1,1774.52,63706.58,9224.01,87.0,97.0,21279.2,19822.11,18.57,3305,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,550,30.0,194.4,Med,A2
71473.5,65481.1,1540.15,63940.96,8988.81,87.0,98.0,21513.57,20057.31,17.21,3240,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,600,30.0,194.4,Med,A2
71473.5,65481.1,1374.62,64106.48,8817.06,88.0,98.0,21679.1,20229.06,16.01,3158,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,650,30.0,194.4,Med,A2
71473.5,65481.1,1280.87,64200.23,8711.46,88.0,98.0,21772.85,20334.66,14.93,3065,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,700,30.0,194.4,Med,A2
71473.5,65481.1,1188.64,64292.47,8607.26,88.0,98.0,21865.08,20438.86,13.99,2990,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,750,30.0,194.4,Med,A2
71473.5,65481.1,1141.76,64339.34,8544.86,88.0,98.0,21911.96,20501.26,13.15,2957,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,800,30.0,194.4,Med,A2
71473.5,65481.1,1094.89,64386.22,8482.46,88.0,98.0,21958.83,20563.66,12.4,2927,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,850,30.0,194.4,Med,A2
71473.5,65481.1,1048.01,64433.09,8420.06,88.0,98.0,22005.71,20626.06,11.74,2916,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,900,30.0,194.4,Med,A2
71473.5,65481.1,1001.14,64479.97,8357.66,88.0,98.0,22052.58,20688.46,11.14,2887,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,950,30.0,194.4,Med,A2
71473.5,65481.1,954.26,64526.84,8295.26,88.0,99.0,22099.46,20750.86,10.61,2882,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,1000,30.0,194.4,Med,A2
71473.5,65481.1,907.39,64573.72,8232.86,88.0,99.0,22146.33,20813.26,10.12,2837,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,1050,30.0,194.4,Med,A2
71473.5,65481.1,860.51,64620.59,8170.46,89.0,99.0,22193.21,20875.66,9.68,2817,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,1100,30.0,194.4,Med,A2
71473.5,65481.1,813.64,64667.47,8108.06,89.0,99.0,22240.08,20938.06,9.28,2805,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,1150,30.0,194.4,Med,A2
71473.5,65481.1,766.76,64714.34,8045.66,89.0,99.0,22286.96,21000.46,8.91,2800,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,1200,30.0,194.4,Med,A2
71473.5,65481.1,719.89,64761.22,7983.26,89.0,99.0,22333.83,21062.86,8.58,2768,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,1250,30.0,194.4,Med,A2
71473.5,65481.1,673.01,64808.09,7920.86,89.0,99.0,22380.71,21125.26,8.26,2762,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,1300,30.0,194.4,Med,A2
71473.5,65481.1,626.14,64854.97,7858.46,89.0,99.0,22427.58,21187.66,7.97,2757,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,1350,30.0,194.4,Med,A2
71473.5,65481.1,579.26,64901.84,7796.06,89.0,99.0,22474.46,21250.06,7.71,2751,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,1400,30.0,194.4,Med,A2
71473.5,65481.1,532.39,64948.72,7733.66,89.0,99.0,22521.33,21312.46,7.46,2747,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,1450,30.0,194.4,Med,A2
71473.5,65481.1,485.51,64995.59,7671.26,89.0,99.0,22568.21,21374.86,7.22,2710,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,1500,30.0,194.4,Med,A2
71473.5,65481.1,438.64,65042.47,7608.86,89.0,99.0,22615.08,21437.26,7.0,2663,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,1550,30.0,194.4,Med,A2
71473.5,65481.1,391.76,65089.34,7546.46,89.0,99.0,22661.96,21499.66,6.8,2617,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,1600,30.0,194.4,Med,A2
71473.5,65481.1,344.89,65136.22,7484.06,90.0,99.0,22708.83,21562.06,6.61,2609,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,1650,30.0,194.4,Med,A2
71473.5,65481.1,298.01,65183.09,7421.66,90.0,100.0,22755.71,21624.46,6.43,2602,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,1700,30.0,194.4,Med,A2
71473.5,65481.1,251.14,65229.97,7359.26,90.0,100.0,22802.58,21686.86,6.25,2584,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,1750,30.0,194.4,Med,A2
71473.5,65481.1,204.26,65276.84,7296.86,90.0,100.0,22849.46,21749.26,6.09,2565,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,1800,30.0,194.4,Med,A2
71473.5,65481.1,157.39,65323.72,7234.46,90.0,100.0,22896.33,21811.66,5.94,2531,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,1850,30.0,194.4,Med,A2
71473.5,65481.1,110.51,65370.59,7172.06,90.0,100.0,22943.21,21874.06,5.8,2523,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,1900,30.0,194.4,Med,A2
71473.5,65481.1,88.03,65393.07,7132.14,90.0,100.0,22965.69,21913.98,5.65,2492,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,1950,30.0,194.4,Med,A2
71473.5,65481.1,88.03,65393.07,7112.94,90.0,100.0,22965.69,21933.18,5.51,2490,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,2000,30.0,194.4,Med,A2
71473.5,65481.1,88.03,65393.07,7093.74,90.0,100.0,22965.69,21952.38,5.38,2489,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,2050,30.0,194.4,Med,A2
71473.5,65481.1,88.03,65393.07,7074.54,90.0,100.0,22965.69,21971.58,5.25,2488,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,2100,30.0,194.4,Med,A2
71473.5,65481.1,88.03,65393.07,7055.34,90.0,100.0,22965.69,21990.78,5.13,2458,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,2150,30.0,194.4,Med,A2
71473.5,65481.1,88.03,65393.07,7036.14,90.0,100.0,22965.69,22009.98,5.01,2455,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,2200,30.0,194.4,Med,A2
71473.5,65481.1,88.03,65393.07,7016.94,90.0,100.0,22965.69,22029.18,4.9,2449,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,2250,30.0,194.4,Med,A2
71473.5,65481.1,88.03,65393.07,6997.74,90.0,100.0,22965.69,22048.38,4.79,2445,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,2300,30.0,194.4,Med,A2
71473.5,65481.1,88.03,65393.07,6978.54,90.0,100.0,22965.69,22067.58,4.69,2443,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,2350,30.0,194.4,Med,A2
71473.5,65481.1,88.03,65393.07,6959.34,90.0,100.0,22965.69,22086.78,4.59,2441,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,2400,30.0,194.4,Med,A2
71473.5,65481.1,88.03,65393.07,6940.14,90.0,100.0,22965.69,22105.98,4.5,2430,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,2450,30.0,194.4,Med,A2
71473.5,65481.1,88.03,65393.07,6920.94,90.0,100.0,22965.69,22125.18,4.41,2410,44,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.15,8.14,linear,2500,30.0,194.4,Med,A2
75031.5,65481.1,14660.16,50820.94,24739.87,67.0,78.0,6996.4,6467.08,67.17,9097,47,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.55,8.54,linear,50,30.0,194.4,High,A2
75031.5,65481.1,12216.92,53264.18,22468.99,70.0,81.0,9439.64,8737.97,45.31,8190,47,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.55,8.54,linear,100,30.0,194.4,High,A2
75031.5,65481.1,9779.42,55701.68,20203.39,73.0,85.0,11877.14,11003.57,38.01,7261,46,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.55,8.54,linear,150,30.0,194.4,High,A2
75031.5,65481.1,7440.37,58040.74,18028.51,76.0,89.0,14216.19,13178.44,34.12,6435,46,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.55,8.54,linear,200,30.0,194.4,High,A2
75031.5,65481.1,5376.87,60104.23,16107.6,79.0,92.0,16279.69,15099.36,31.26,5714,46,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.55,8.54,linear,250,30.0,194.4,High,A2
75031.5,65481.1,3667.52,61813.58,14513.06,81.0,94.0,17989.03,16693.89,28.78,5180,46,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.55,8.54,linear,300,30.0,194.4,High,A2
75031.5,65481.1,2338.8,63142.3,13269.31,82.0,96.0,19317.76,17937.65,26.49,4690,46,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.55,8.54,linear,350,30.0,194.4,High,A2
75031.5,65481.1,1733.72,63747.38,12692.47,83.0,97.0,19922.84,18514.49,23.91,4481,46,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.55,8.54,linear,400,30.0,194.4,High,A2
75031.5,65481.1,1403.83,64077.28,12369.24,84.0,98.0,20252.73,18837.72,21.6,4303,46,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.55,8.54,linear,450,30.0,194.4,High,A2
75031.5,65481.1,1153.41,64327.69,12119.26,84.0,98.0,20503.15,19087.7,19.68,4247,46,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.55,8.54,linear,500,30.0,194.4,High,A2
75031.5,65481.1,994.21,64486.89,11953.33,84.0,98.0,20662.35,19253.62,18.03,4204,46,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.55,8.54,linear,550,30.0,194.4,High,A2
75031.5,65481.1,887.45,64593.65,11835.74,84.0,99.0,20769.11,19371.21,16.62,4156,46,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.55,8.54,linear,600,30.0,194.4,High,A2
75031.5,65481.1,793.7,64687.4,11730.14,84.0,99.0,20862.86,19476.81,15.41,4128,46,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.55,8.54,linear,650,30.0,194.4,High,A2
75031.5,65481.1,699.95,64781.15,11624.54,85.0,99.0,20956.61,19582.41,14.37,4093,46,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.55,8.54,linear,700,30.0,194.4,High,A2
75031.5,65481.1,606.2,64874.9,11518.94,85.0,99.0,21050.36,19688.01,13.47,4073,46,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.55,8.54,linear,750,30.0,194.4,High,A2
75031.5,65481.1,512.45,64968.65,11413.34,85.0,99.0,21144.11,19793.61,12.69,4012,46,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.55,8.54,linear,800,30.0,194.4,High,A2
75031.5,65481.1,418.7,65062.4,11307.74,85.0,99.0,21237.86,19899.21,11.99,3964,46,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.55,8.54,linear,850,30.0,194.4,High,A2
75031.5,65481.1,341.35,65139.75,11217.26,85.0,99.0,21315.21,19989.7,11.37,3910,46,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.55,8.54,linear,900,30.0,194.4,High,A2
75031.5,65481.1,294.48,65186.63,11154.86,85.0,100.0,21362.08,20052.1,10.79,3899,46,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.55,8.54,linear,950,30.0,194.4,High,A2
75031.5,65481.1,247.6,65233.5,11092.46,85.0,100.0,21408.96,20114.5,10.28,3877,46,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.55,8.54,linear,1000,30.0,194.4,High,A2
75031.5,65481.1,200.73,65280.38,11030.06,85.0,100.0,21455.83,20176.9,9.81,3857,46,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.55,8.54,linear,1050,30.0,194.4,High,A2
75031.5,65481.1,153.85,65327.25,10967.66,85.0,100.0,21502.71,20239.3,9.38,3828,46,8760,17540,3600.0,1800.0,30min,0.5,7.48,7.46,7.55,8.54,linear,1100,30.0,194.4,High,A2
