total_load_kwh,total_pv_kwh,pv_curtailed_kwh,pv_used_kwh,energy_not_served_kwh,self_sufficiency_percent,pv_utilization_percent,throughput_charge_kwh,throughput_discharge_kwh,estimated_full_cycles,loss_of_load_hours,max_contiguous_lol_hours,diag_pv_points,diag_load_points,diag_pv_step_seconds,diag_load_step_seconds,diag_target_freq,diag_target_step_hours,diag_pv_mean_before,diag_pv_mean_after,diag_load_mean_before,diag_load_mean_after,diag_interp,capacity_kwh,power_kw
142708.0,229183.86,107137.56,122046.3,21895.34,85.0,53.0,15980.11,14746.47,153.41,6401,36,8760,17540,3600.0,1800.0,30min,0.5,26.16254095613291,26.092543835114057,14.26921322690992,16.247281835259294,linear,50,60.0
142708.0,229183.86,98993.84,130190.02,14370.89,90.0,56.99999999999999,24123.84,22270.93,115.79,4250,36,8760,17540,3600.0,1800.0,30min,0.5,26.16254095613291,26.092543835114057,14.26921322690992,16.247281835259294,linear,100,60.0
142708.0,229183.86,94799.45,134384.41,10509.67,93.0,59.0,28318.23,26132.15,90.62,2660,36,8760,17540,3600.0,1800.0,30min,0.5,26.16254095613291,26.092543835114057,14.26921322690992,16.247281835259294,linear,150,60.0
142708.0,229183.86,92601.04,136582.82,8507.62,94.0,60.0,30516.63,28134.2,73.24,1993,36,8760,17540,3600.0,1800.0,30min,0.5,26.16254095613291,26.092543835114057,14.26921322690992,16.247281835259294,linear,200,60.0
142708.0,229183.86,91060.89,138122.97,7112.21,95.0,60.0,32056.79,29529.6,61.52,1628,36,8760,17540,3600.0,1800.0,30min,0.5,26.16254095613291,26.092543835114057,14.26921322690992,16.247281835259294,linear,250,60.0
142708.0,229183.86,89818.21,139365.65,5990.96,96.0,61.0,33299.46,30650.85,53.21,1395,36,8760,17540,3600.0,1800.0,30min,0.5,26.16254095613291,26.092543835114057,14.26921322690992,16.247281835259294,linear,300,60.0
142708.0,229183.86,88900.21,140283.65,5168.93,96.0,61.0,34217.46,31472.88,46.83,1226,36,8760,17540,3600.0,1800.0,30min,0.5,26.16254095613291,26.092543835114057,14.26921322690992,16.247281835259294,linear,350,60.0
142708.0,229183.86,88106.78,141077.08,4461.71,97.0,62.0,35010.89,32180.11,41.9,998,36,8760,17540,3600.0,1800.0,30min,0.5,26.16254095613291,26.092543835114057,14.26921322690992,16.247281835259294,linear,400,60.0
142708.0,229183.86,87369.78,141814.08,3806.48,97.0,62.0,35747.9,32835.33,38.0,845,36,8760,17540,3600.0,1800.0,30min,0.5,26.16254095613291,26.092543835114057,14.26921322690992,16.247281835259294,linear,450,60.0
142708.0,229183.86,86666.65,142517.21,3182.48,98.0,62.0,36451.02,33459.33,34.85,789,36,8760,17540,3600.0,1800.0,30min,0.5,26.16254095613291,26.092543835114057,14.26921322690992,16.247281835259294,linear,500,60.0
