total_load_kwh,total_pv_kwh,pv_curtailed_kwh,pv_used_kwh,energy_not_served_kwh,self_sufficiency_percent,pv_utilization_percent,throughput_charge_kwh,throughput_discharge_kwh,estimated_full_cycles,loss_of_load_hours,max_contiguous_lol_hours,diag_pv_points,diag_load_points,diag_pv_step_seconds,diag_load_step_seconds,diag_target_freq,diag_target_step_hours,diag_pv_mean_before,diag_pv_mean_after,diag_load_mean_before,diag_load_mean_after,diag_interp,capacity_kwh,power_kw
121823.0,229183.86,124679.72,104504.14,18534.02,85.0,46.0,15744.38,14529.22,151.15,6061,36,8760,17540,3600.0,1800.0,30min,0.5,26.16254095613291,26.092543835114057,11.887799315849486,13.869528092446064,linear,50,60.0
121823.0,229183.86,116099.56,113084.29,10607.35,91.0,49.0,24324.53,22455.89,116.76,3831,36,8760,17540,3600.0,1800.0,30min,0.5,26.16254095613291,26.092543835114057,11.887799315849486,13.869528092446064,linear,100,60.0
121823.0,229183.86,111474.23,117709.62,6354.47,95.0,51.0,28949.86,26708.77,92.64,2074,36,8760,17540,3600.0,1800.0,30min,0.5,26.16254095613291,26.092543835114057,11.887799315849486,13.869528092446064,linear,150,60.0
121823.0,229183.86,109317.38,119866.48,4390.71,96.0,52.0,31106.72,28672.53,74.66,1326,36,8760,17540,3600.0,1800.0,30min,0.5,26.16254095613291,26.092543835114057,11.887799315849486,13.869528092446064,linear,200,60.0
121823.0,229183.86,108159.94,121023.92,3348.01,97.0,53.0,32264.15,29715.22,61.91,905,36,8760,17540,3600.0,1800.0,30min,0.5,26.16254095613291,26.092543835114057,11.887799315849486,13.869528092446064,linear,250,60.0
121823.0,229183.86,107316.31,121867.55,2594.53,98.0,53.0,33107.78,30468.71,52.9,775,36,8760,17540,3600.0,1800.0,30min,0.5,26.16254095613291,26.092543835114057,11.887799315849486,13.869528092446064,linear,300,60.0
121823.0,229183.86,106567.95,122615.91,1928.83,98.0,54.0,33856.15,31134.4,46.33,585,36,8760,17540,3600.0,1800.0,30min,0.5,26.16254095613291,26.092543835114057,11.887799315849486,13.869528092446064,linear,350,60.0
121823.0,229183.86,105955.23,123228.63,1388.15,99.0,54.0,34468.87,31675.09,41.24,432,36,8760,17540,3600.0,1800.0,30min,0.5,26.16254095613291,26.092543835114057,11.887799315849486,13.869528092446064,linear,400,60.0
121823.0,229183.86,105475.55,123708.31,970.08,99.0,54.0,34948.54,32093.15,37.14,276,36,8760,17540,3600.0,1800.0,30min,0.5,26.16254095613291,26.092543835114057,11.887799315849486,13.869528092446064,linear,450,60.0
121823.0,229183.86,105206.0,123977.86,745.67,99.0,54.0,35218.09,32317.57,33.66,139,21,8760,17540,3600.0,1800.0,30min,0.5,26.16254095613291,26.092543835114057,11.887799315849486,13.869528092446064,linear,500,60.0
121823.0,229183.86,105018.5,124165.36,596.87,100.0,54.0,35405.59,32466.37,30.74,123,20,8760,17540,3600.0,1800.0,30min,0.5,26.16254095613291,26.092543835114057,11.887799315849486,13.869528092446064,linear,550,60.0
121823.0,229183.86,104855.53,124328.33,470.67,100.0,54.0,35568.56,32592.56,28.29,96,19,8760,17540,3600.0,1800.0,30min,0.5,26.16254095613291,26.092543835114057,11.887799315849486,13.869528092446064,linear,600,60.0
