total_load_kwh,total_pv_kwh,pv_curtailed_kwh,pv_used_kwh,energy_not_served_kwh,self_sufficiency_percent,pv_utilization_percent,throughput_charge_kwh,throughput_discharge_kwh,estimated_full_cycles,loss_of_load_hours,max_contiguous_lol_hours,diag_pv_points,diag_load_points,diag_pv_step_seconds,diag_load_step_seconds,diag_target_freq,diag_target_step_hours,diag_pv_mean_before,diag_pv_mean_after,diag_load_mean_before,diag_load_mean_after,diag_interp,capacity_kwh,power_kw
142708.0,305578.33,176898.62,128679.71,15251.59,89.0,42.0,15848.26,14624.95,152.14,5087,36,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,14.26921322690992,16.247281835259294,linear,50,60.0
142708.0,305578.33,169492.3,136086.03,8406.73,94.0,45.0,23254.58,21469.82,111.62,3039,36,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,14.26921322690992,16.247281835259294,linear,100,60.0
142708.0,305578.33,165731.88,139846.45,4961.43,97.0,46.0,27014.99,24915.12,86.45,1331,36,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,14.26921322690992,16.247281835259294,linear,150,60.0
142708.0,305578.33,164261.55,141316.77,3630.38,97.0,46.0,28485.32,26246.17,68.35,929,36,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,14.26921322690992,16.247281835259294,linear,200,60.0
142708.0,305578.33,163290.42,142287.91,2759.38,98.0,47.0,29456.45,27117.17,56.49,676,36,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,14.26921322690992,16.247281835259294,linear,250,60.0
142708.0,305578.33,162475.76,143102.56,2032.59,99.0,47.0,30271.11,27843.95,48.34,540,36,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,14.26921322690992,16.247281835259294,linear,300,60.0
142708.0,305578.33,161830.2,143748.13,1461.64,99.0,47.0,30916.68,28414.91,42.28,385,36,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,14.26921322690992,16.247281835259294,linear,350,60.0
142708.0,305578.33,161346.47,144231.86,1039.83,99.0,47.0,31400.41,28836.72,37.55,219,22,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,14.26921322690992,16.247281835259294,linear,400,60.0
142708.0,305578.33,161025.39,144552.94,767.93,99.0,47.0,31721.48,29108.62,33.69,141,21,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,14.26921322690992,16.247281835259294,linear,450,60.0
142708.0,305578.33,160802.17,144776.16,586.21,100.0,47.0,31944.7,29290.34,30.51,84,20,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,14.26921322690992,16.247281835259294,linear,500,60.0
142708.0,305578.33,160670.46,144907.87,488.82,100.0,47.0,32076.41,29387.72,27.83,67,19,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,14.26921322690992,16.247281835259294,linear,550,60.0
142708.0,305578.33,160550.67,145027.66,402.42,100.0,47.0,32196.2,29474.12,25.59,63,18,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,14.26921322690992,16.247281835259294,linear,600,60.0
