total_load_kwh,total_pv_kwh,pv_curtailed_kwh,pv_used_kwh,energy_not_served_kwh,self_sufficiency_percent,pv_utilization_percent,throughput_charge_kwh,throughput_discharge_kwh,estimated_full_cycles,loss_of_load_hours,max_contiguous_lol_hours,diag_pv_points,diag_load_points,diag_pv_step_seconds,diag_load_step_seconds,diag_target_freq,diag_target_step_hours,diag_pv_mean_before,diag_pv_mean_after,diag_load_mean_before,diag_load_mean_after,diag_interp,capacity_kwh,power_kw
71473.5,87308.09,27281.31,60026.78,12297.91,83.0,69.0,11101.96,10250.76,106.58,5901,42,8760,17540,3600.0,1800.0,30min,0.5,9.966677310476156,9.940011753830605,7.148232611174459,8.13724597256219,linear,50,30.0
71473.5,87308.09,24337.02,62971.07,9565.25,87.0,72.0,14046.24,12983.42,67.42,4195,42,8760,17540,3600.0,1800.0,30min,0.5,9.966677310476156,9.940011753830605,7.148232611174459,8.13724597256219,linear,100,30.0
71473.5,87308.09,22403.15,64904.94,7768.64,89.0,74.0,15980.11,14780.03,51.14,3313,42,8760,17540,3600.0,1800.0,30min,0.5,9.966677310476156,9.940011753830605,7.148232611174459,8.13724597256219,linear,150,30.0
71473.5,87308.09,20728.68,66579.41,6249.45,91.0,76.0,17654.58,16299.22,42.37,2791,42,8760,17540,3600.0,1800.0,30min,0.5,9.966677310476156,9.940011753830605,7.148232611174459,8.13724597256219,linear,200,30.0
71473.5,87308.09,19301.6,68006.49,4958.25,93.0,78.0,19081.66,17590.42,36.64,2179,42,8760,17540,3600.0,1800.0,30min,0.5,9.966677310476156,9.940011753830605,7.148232611174459,8.13724597256219,linear,250,30.0
71473.5,87308.09,18225.26,69082.84,3990.29,94.0,79.0,20158.01,18558.38,32.22,1704,42,8760,17540,3600.0,1800.0,30min,0.5,9.966677310476156,9.940011753830605,7.148232611174459,8.13724597256219,linear,300,30.0
71473.5,87308.09,17522.1,69785.99,3324.79,95.0,80.0,20861.17,19223.88,28.61,1541,40,8760,17540,3600.0,1800.0,30min,0.5,9.966677310476156,9.940011753830605,7.148232611174459,8.13724597256219,linear,350,30.0
71473.5,87308.09,17027.77,70280.32,2850.02,96.0,80.0,21355.49,19698.65,25.63,1316,38,8760,17540,3600.0,1800.0,30min,0.5,9.966677310476156,9.940011753830605,7.148232611174459,8.13724597256219,linear,400,30.0
71473.5,87308.09,16661.21,70646.89,2515.01,96.0,81.0,21722.06,20033.66,23.17,1101,23,8760,17540,3600.0,1800.0,30min,0.5,9.966677310476156,9.940011753830605,7.148232611174459,8.13724597256219,linear,450,30.0
71473.5,87308.09,16426.83,70881.26,2279.81,97.0,81.0,21956.44,20268.86,21.08,984,23,8760,17540,3600.0,1800.0,30min,0.5,9.966677310476156,9.940011753830605,7.148232611174459,8.13724597256219,linear,500,30.0
71473.5,87308.09,16219.13,71088.96,2069.2,97.0,81.0,22164.13,20479.47,19.34,890,23,8760,17540,3600.0,1800.0,30min,0.5,9.966677310476156,9.940011753830605,7.148232611174459,8.13724597256219,linear,550,30.0
71473.5,87308.09,16066.18,71241.91,1909.04,97.0,82.0,22317.09,20639.63,17.85,831,23,8760,17540,3600.0,1800.0,30min,0.5,9.966677310476156,9.940011753830605,7.148232611174459,8.13724597256219,linear,600,30.0
71473.5,87308.09,15925.55,71382.54,1760.24,98.0,82.0,22457.71,20788.43,16.58,818,23,8760,17540,3600.0,1800.0,30min,0.5,9.966677310476156,9.940011753830605,7.148232611174459,8.13724597256219,linear,650,30.0
